date,store_id,dept_id,units_sold,unit_price,is_promo,is_holiday,temperature_c,revenue
2021-02-13,1,1,465,32.43,0,0,20.9,15079.95
2021-02-14,1,1,580,32.93,0,1,21.4,19099.4
2021-02-15,1,1,339,32.72,0,0,21.2,11092.08
2021-02-16,1,1,384,33.16,0,0,19.7,12733.44
2021-02-17,1,1,347,32.6,0,0,19.3,11312.2
2021-02-18,1,1,350,34.4,0,0,14.8,12040.0
2021-02-19,1,1,325,34.08,0,0,17.3,11076.0
2021-02-20,1,1,470,34.61,0,0,19.3,16266.7
2021-02-21,1,1,456,33.46,0,0,18.8,15257.76
2021-02-22,1,1,367,35.34,0,0,19.3,12969.78
2021-02-23,1,1,347,33.99,0,0,20.2,11794.53
2021-02-24,1,1,494,30.07,1,0,23.8,14854.58
2021-02-25,1,1,347,33.69,0,0,19.0,11690.43
2021-02-26,1,1,454,29.59,1,0,16.1,13433.86
2021-02-27,1,1,408,35.05,0,0,25.0,14300.4
2021-02-28,1,1,416,34.32,0,0,17.2,14277.12
2021-03-01,1,1,420,32.91,0,0,18.7,13822.2
2021-03-02,1,1,443,32.34,0,0,20.4,14326.62
2021-03-03,1,1,410,33.16,0,0,20.8,13595.6
2021-03-04,1,1,374,33.07,0,0,21.2,12368.18
2021-03-05,1,1,465,27.8,1,0,20.5,12927.0
2021-03-06,1,1,490,33.44,0,0,22.5,16385.6
2021-03-07,1,1,455,34.99,0,0,22.6,15920.45
2021-03-08,1,1,446,32.96,0,0,25.3,14700.16
2021-03-09,1,1,343,33.38,0,0,22.8,11449.34
2021-03-10,1,1,641,29.95,1,0,19.0,19197.95
2021-03-11,1,1,380,35.42,0,0,21.7,13459.6
2021-03-12,1,1,369,34.75,0,0,22.6,12822.75
2021-03-13,1,1,465,35.01,0,0,17.8,16279.65
2021-03-14,1,1,467,33.01,0,0,22.3,15415.67
2021-03-15,1,1,378,32.9,0,0,20.2,12436.2
2021-03-16,1,1,359,33.4,0,0,21.3,11990.6
2021-03-17,1,1,408,35.21,0,0,27.0,14365.68
2021-03-18,1,1,383,34.98,0,0,24.6,13397.34
2021-03-19,1,1,362,34.25,0,0,22.4,12398.5
2021-03-20,1,1,420,34.46,0,0,23.6,14473.2
2021-03-21,1,1,492,34.57,0,0,25.6,17008.44
2021-03-22,1,1,370,35.35,0,0,23.2,13079.5
2021-03-23,1,1,391,34.8,0,0,22.3,13606.8
2021-03-24,1,1,336,32.43,0,0,25.1,10896.48
2021-03-25,1,1,391,33.69,0,0,25.2,13172.79
2021-03-26,1,1,385,33.78,0,0,20.6,13005.3
2021-03-27,1,1,488,32.51,0,0,27.8,15864.88
2021-03-28,1,1,498,34.73,0,0,26.6,17295.54
2021-03-29,1,1,380,34.69,0,0,25.6,13182.2
2021-03-30,1,1,369,32.65,0,0,26.0,12047.85
2021-03-31,1,1,342,33.41,0,0,28.3,11426.22
2021-04-01,1,1,349,34.75,0,0,27.1,12127.75
2021-04-02,1,1,413,34.54,0,0,27.2,14265.02
2021-04-03,1,1,792,27.65,1,0,28.8,21898.8
2021-04-04,1,1,471,33.65,0,0,22.5,15849.15
2021-04-05,1,1,325,33.61,0,0,26.7,10923.25
2021-04-06,1,1,381,32.49,0,0,21.3,12378.69
2021-04-07,1,1,359,34.94,0,0,27.4,12543.46
2021-04-08,1,1,353,34.31,0,0,27.6,12111.43
2021-04-09,1,1,389,32.93,0,0,25.8,12809.77
2021-04-10,1,1,496,35.19,0,0,27.2,17454.24
2021-04-11,1,1,647,29.04,1,0,23.7,18788.88
2021-04-12,1,1,303,32.31,0,0,27.8,9789.93
2021-04-13,1,1,378,34.47,0,0,29.1,13029.66
2021-04-14,1,1,577,29.11,1,0,24.8,16796.47
2021-04-15,1,1,327,32.77,0,0,25.8,10715.79
2021-04-16,1,1,422,34.18,0,0,27.4,14423.96
2021-04-17,1,1,480,35.1,0,0,23.0,16848.0
2021-04-18,1,1,440,32.73,0,0,24.5,14401.2
2021-04-19,1,1,382,34.26,0,0,27.4,13087.32
2021-04-20,1,1,408,33.13,0,0,23.8,13517.04
2021-04-21,1,1,359,35.29,0,0,27.6,12669.11
2021-04-22,1,1,378,33.72,0,0,31.0,12746.16
2021-04-23,1,1,372,33.14,0,0,25.2,12328.08
2021-04-24,1,1,457,33.5,0,0,25.2,15309.5
2021-04-25,1,1,382,33.18,0,0,26.0,12674.76
2021-04-26,1,1,422,32.88,0,0,25.0,13875.36
2021-04-27,1,1,353,34.3,0,0,27.3,12107.9
2021-04-28,1,1,354,33.97,0,0,24.7,12025.38
2021-04-29,1,1,439,33.85,0,0,29.9,14860.15
2021-04-30,1,1,379,33.81,0,0,26.7,12813.99
2021-05-01,1,1,468,34.94,0,0,28.3,16351.92
2021-05-02,1,1,464,33.06,0,0,27.9,15339.84
2021-05-03,1,1,387,34.62,0,0,26.3,13397.94
2021-05-04,1,1,316,33.37,0,0,28.8,10544.92
2021-05-05,1,1,315,33.35,0,0,25.9,10505.25
2021-05-06,1,1,370,33.16,0,0,27.9,12269.2
2021-05-07,1,1,348,34.28,0,0,26.8,11929.44
2021-05-08,1,1,457,32.67,0,0,25.5,14930.19
2021-05-09,1,1,501,33.99,0,0,25.1,17028.99
2021-05-10,1,1,348,33.63,0,0,26.0,11703.24
2021-05-11,1,1,604,28.64,1,0,26.1,17298.56
2021-05-12,1,1,339,32.26,0,0,23.7,10936.14
2021-05-13,1,1,335,34.09,0,0,22.0,11420.15
2021-05-14,1,1,464,29.13,1,0,26.4,13516.32
2021-05-15,1,1,430,32.31,0,0,24.6,13893.3
2021-05-16,1,1,457,34.97,0,0,27.7,15981.29
2021-05-17,1,1,402,33.82,0,0,25.9,13595.64
2021-05-18,1,1,316,33.26,0,0,24.7,10510.16
2021-05-19,1,1,353,34.24,0,0,24.9,12086.72
2021-05-20,1,1,363,32.2,0,0,25.1,11688.6
2021-05-21,1,1,346,34.14,0,0,26.2,11812.44
2021-05-22,1,1,394,34.25,0,0,23.3,13494.5
2021-05-23,1,1,466,34.69,0,0,26.9,16165.54
2021-05-24,1,1,306,34.76,0,0,23.9,10636.56
2021-05-25,1,1,507,28.88,1,0,26.5,14642.16
2021-05-26,1,1,302,33.09,0,0,29.6,9993.18
2021-05-27,1,1,322,32.53,0,0,23.3,10474.66
2021-05-28,1,1,318,35.44,0,0,26.2,11269.92
2021-05-29,1,1,431,34.8,0,0,28.2,14998.8
2021-05-30,1,1,391,35.24,0,0,27.1,13778.84
2021-05-31,1,1,763,27.61,1,1,25.9,21066.43
2021-06-01,1,1,338,35.04,0,0,22.8,11843.52
2021-06-02,1,1,331,32.91,0,0,28.2,10893.21
2021-06-03,1,1,325,33.85,0,0,23.9,11001.25
2021-06-04,1,1,468,29.23,1,0,22.9,13679.64
2021-06-05,1,1,453,35.0,0,0,24.1,15855.0
2021-06-06,1,1,389,33.04,0,0,24.4,12852.56
2021-06-07,1,1,333,33.27,0,0,21.7,11078.91
2021-06-08,1,1,368,33.11,0,0,23.9,12184.48
2021-06-09,1,1,330,35.48,0,0,21.9,11708.4
2021-06-10,1,1,317,35.21,0,0,28.0,11161.57
2021-06-11,1,1,353,32.34,0,0,25.3,11416.02
2021-06-12,1,1,600,28.28,1,0,23.4,16968.0
2021-06-13,1,1,385,33.94,0,0,23.2,13066.9
2021-06-14,1,1,265,33.21,0,0,24.7,8800.65
2021-06-15,1,1,243,34.11,0,0,24.2,8288.73
2021-06-16,1,1,272,33.2,0,0,24.2,9030.4
2021-06-17,1,1,312,34.01,0,0,24.1,10611.12
2021-06-18,1,1,320,33.72,0,0,25.7,10790.4
2021-06-19,1,1,361,32.74,0,0,24.6,11819.14
2021-06-20,1,1,584,28.77,1,0,22.4,16801.68
2021-06-21,1,1,492,27.41,1,0,18.1,13485.72
2021-06-22,1,1,442,28.19,1,0,22.1,12459.98
2021-06-23,1,1,473,29.3,1,0,20.6,13858.9
2021-06-24,1,1,286,33.52,0,0,22.2,9586.72
2021-06-25,1,1,500,28.76,1,0,19.6,14380.0
2021-06-26,1,1,379,34.75,0,0,19.8,13170.25
2021-06-27,1,1,390,32.93,0,0,18.7,12842.7
2021-06-28,1,1,318,33.23,0,0,23.1,10567.14
2021-06-29,1,1,448,27.73,1,0,22.5,12423.04
2021-06-30,1,1,287,32.14,0,0,22.7,9224.18
2021-07-01,1,1,311,27.99,1,0,23.4,8704.89
2021-07-02,1,1,236,32.13,0,0,22.7,7582.68
2021-07-03,1,1,359,34.73,0,0,18.9,12468.07
2021-07-04,1,1,502,33.65,0,1,24.6,16892.3
2021-07-05,1,1,297,34.86,0,0,22.0,10353.42
2021-07-06,1,1,281,32.84,0,0,21.4,9228.04
2021-07-07,1,1,283,32.21,0,0,16.3,9115.43
2021-07-08,1,1,332,29.33,1,0,23.2,9737.56
2021-07-09,1,1,272,34.12,0,0,19.6,9280.64
2021-07-10,1,1,302,32.7,0,0,19.5,9875.4
2021-07-11,1,1,327,32.17,0,0,22.7,10519.59
2021-07-12,1,1,261,35.15,0,0,19.0,9174.15
2021-07-13,1,1,237,33.04,0,0,17.3,7830.48
2021-07-14,1,1,268,34.36,0,0,15.0,9208.48
2021-07-15,1,1,444,29.81,1,0,18.4,13235.64
2021-07-16,1,1,233,33.45,0,0,18.9,7793.85
2021-07-17,1,1,344,34.68,0,0,15.5,11929.92
2021-07-18,1,1,320,32.15,0,0,16.6,10288.0
2021-07-19,1,1,240,32.43,0,0,18.2,7783.2
2021-07-20,1,1,253,32.62,0,0,15.1,8252.86
2021-07-21,1,1,275,35.02,0,0,17.8,9630.5
2021-07-22,1,1,204,34.59,0,0,17.0,7056.36
2021-07-23,1,1,241,34.62,0,0,11.4,8343.42
2021-07-24,1,1,340,32.47,0,0,15.8,11039.8
2021-07-25,1,1,279,32.45,0,0,19.2,9053.55
2021-07-26,1,1,233,35.42,0,0,16.2,8252.86
2021-07-27,1,1,236,33.45,0,0,16.7,7894.2
2021-07-28,1,1,252,33.5,0,0,17.7,8442.0
2021-07-29,1,1,225,32.78,0,0,15.6,7375.5
2021-07-30,1,1,233,32.66,0,0,16.2,7609.78
2021-07-31,1,1,305,32.94,0,0,12.2,10046.7
2021-08-01,1,1,290,33.05,0,0,16.6,9584.5
2021-08-02,1,1,221,33.7,0,0,14.6,7447.7
2021-08-03,1,1,371,29.17,1,0,10.7,10822.07
2021-08-04,1,1,317,29.49,1,0,14.2,9348.33
2021-08-05,1,1,242,35.43,0,0,11.7,8574.06
2021-08-06,1,1,336,28.88,1,0,8.9,9703.68
2021-08-07,1,1,259,33.95,0,0,12.8,8793.05
2021-08-08,1,1,269,34.99,0,0,12.1,9412.31
2021-08-09,1,1,228,33.37,0,0,14.0,7608.36
2021-08-10,1,1,215,32.81,0,0,11.8,7054.15
2021-08-11,1,1,213,32.45,0,0,13.0,6911.85
2021-08-12,1,1,202,33.51,0,0,13.8,6769.02
2021-08-13,1,1,231,34.99,0,0,15.3,8082.69
2021-08-14,1,1,295,32.94,0,0,11.6,9717.3
2021-08-15,1,1,267,34.74,0,0,11.7,9275.58
2021-08-16,1,1,208,33.93,0,0,11.4,7057.44
2021-08-17,1,1,209,35.33,0,0,14.0,7383.97
2021-08-18,1,1,213,33.99,0,0,9.1,7239.87
2021-08-19,1,1,223,32.51,0,0,11.7,7249.73
2021-08-20,1,1,214,33.68,0,0,11.6,7207.52
2021-08-21,1,1,263,35.45,0,0,11.6,9323.35
2021-08-22,1,1,220,32.63,0,0,11.6,7178.6
2021-08-23,1,1,191,33.27,0,0,9.5,6354.57
2021-08-24,1,1,202,34.8,0,0,13.5,7029.6
2021-08-25,1,1,185,34.27,0,0,10.0,6339.95
2021-08-26,1,1,196,32.32,0,0,11.7,6334.72
2021-08-27,1,1,194,34.25,0,0,10.2,6644.5
2021-08-28,1,1,228,34.57,0,0,11.7,7881.96
2021-08-29,1,1,218,33.71,0,0,10.3,7348.78
2021-08-30,1,1,200,34.4,0,0,9.9,6880.0
2021-08-31,1,1,306,29.45,1,0,10.2,9011.7
2021-09-01,1,1,187,33.13,0,0,11.8,6195.31
2021-09-02,1,1,214,33.48,0,0,9.3,7164.72
2021-09-03,1,1,195,35.18,0,0,10.1,6860.1
2021-09-04,1,1,226,33.49,0,0,9.6,7568.74
2021-09-05,1,1,246,34.37,0,0,7.4,8455.02
2021-09-06,1,1,295,33.22,0,1,10.8,9799.9
2021-09-07,1,1,165,32.95,0,0,5.7,5436.75
2021-09-08,1,1,185,32.58,0,0,8.9,6027.3
2021-09-09,1,1,194,32.8,0,0,8.7,6363.2
2021-09-10,1,1,183,34.17,0,0,7.4,6253.11
2021-09-11,1,1,254,35.41,0,0,7.5,8994.14
2021-09-12,1,1,243,33.46,0,0,7.0,8130.78
2021-09-13,1,1,178,35.28,0,0,8.2,6279.84
2021-09-14,1,1,201,33.77,0,0,6.9,6787.77
2021-09-15,1,1,173,35.2,0,0,7.6,6089.6
2021-09-16,1,1,192,34.63,0,0,6.0,6648.96
2021-09-17,1,1,221,33.66,0,0,9.2,7438.86
2021-09-18,1,1,238,32.98,0,0,7.0,7849.24
2021-09-19,1,1,257,34.87,0,0,8.2,8961.59
2021-09-20,1,1,183,33.25,0,0,6.7,6084.75
2021-09-21,1,1,182,34.73,0,0,3.5,6320.86
2021-09-22,1,1,160,32.76,0,0,6.0,5241.6
2021-09-23,1,1,224,35.27,0,0,8.3,7900.48
2021-09-24,1,1,259,28.07,1,0,5.5,7270.13
2021-09-25,1,1,203,34.93,0,0,6.5,7090.79
2021-09-26,1,1,217,33.81,0,0,6.7,7336.77
2021-09-27,1,1,173,35.49,0,0,4.8,6139.77
2021-09-28,1,1,327,28.21,1,0,7.1,9224.67
2021-09-29,1,1,191,34.38,0,0,2.6,6566.58
2021-09-30,1,1,162,34.89,0,0,7.2,5652.18
2021-10-01,1,1,204,34.82,0,0,2.2,7103.28
2021-10-02,1,1,230,35.08,0,0,6.7,8068.4
2021-10-03,1,1,234,32.34,0,0,5.2,7567.56
2021-10-04,1,1,272,27.4,1,0,3.7,7452.8
2021-10-05,1,1,181,32.61,0,0,-0.0,5902.41
2021-10-06,1,1,179,34.88,0,0,6.8,6243.52
2021-10-07,1,1,202,32.98,0,0,4.1,6661.96
2021-10-08,1,1,183,33.68,0,0,-0.7,6163.44
2021-10-09,1,1,219,34.65,0,0,5.2,7588.35
2021-10-10,1,1,345,29.66,1,0,4.1,10232.7
2021-10-11,1,1,188,34.32,0,0,5.1,6452.16
2021-10-12,1,1,184,35.41,0,0,-1.3,6515.44
2021-10-13,1,1,167,34.33,0,0,3.0,5733.11
2021-10-14,1,1,170,33.97,0,0,8.4,5774.9
2021-10-15,1,1,179,32.28,0,0,1.1,5778.12
2021-10-16,1,1,230,33.53,0,0,3.2,7711.9
2021-10-17,1,1,219,33.42,0,0,4.1,7318.98
2021-10-18,1,1,167,34.02,0,0,1.7,5681.34
2021-10-19,1,1,217,29.87,1,0,4.0,6481.79
2021-10-20,1,1,186,33.7,0,0,5.2,6268.2
2021-10-21,1,1,200,32.84,0,0,7.1,6568.0
2021-10-22,1,1,175,32.84,0,0,1.0,5747.0
2021-10-23,1,1,228,32.71,0,0,2.9,7457.88
2021-10-24,1,1,225,33.33,0,0,1.3,7499.25
2021-10-25,1,1,196,34.18,0,0,2.1,6699.28
2021-10-26,1,1,181,32.45,0,0,0.3,5873.45
2021-10-27,1,1,280,29.74,1,0,2.9,8327.2
2021-10-28,1,1,200,35.48,0,0,1.2,7096.0
2021-10-29,1,1,205,35.32,0,0,4.1,7240.6
2021-10-30,1,1,233,35.42,0,0,0.6,8252.86
2021-10-31,1,1,200,33.4,0,0,3.7,6680.0
2021-11-01,1,1,310,33.2,0,0,4.2,10292.0
2021-11-02,1,1,494,28.33,1,0,1.9,13995.02
2021-11-03,1,1,313,35.25,0,0,-0.6,11033.25
2021-11-04,1,1,273,33.64,0,0,6.1,9183.72
2021-11-05,1,1,320,33.99,0,0,1.8,10876.8
2021-11-06,1,1,391,32.43,0,0,2.1,12680.13
2021-11-07,1,1,397,32.84,0,0,2.2,13037.48
2021-11-08,1,1,313,34.91,0,0,4.4,10926.83
2021-11-09,1,1,332,32.29,0,0,6.1,10720.28
2021-11-10,1,1,327,34.07,0,0,3.2,11140.89
2021-11-11,1,1,539,27.37,1,0,5.6,14752.43
2021-11-12,1,1,269,33.69,0,0,3.4,9062.61
2021-11-13,1,1,359,35.08,0,0,7.3,12593.72
2021-11-14,1,1,409,32.66,0,0,2.6,13357.94
2021-11-15,1,1,330,35.38,0,0,0.3,11675.4
2021-11-16,1,1,295,34.12,0,0,3.6,10065.4
2021-11-17,1,1,260,34.85,0,0,5.0,9061.0
2021-11-18,1,1,263,34.17,0,0,6.1,8986.71
2021-11-19,1,1,320,32.51,0,0,5.3,10403.2
2021-11-20,1,1,426,33.14,0,0,7.4,14117.64
2021-11-21,1,1,570,29.28,1,0,2.3,16689.6
2021-11-22,1,1,332,34.2,0,0,4.3,11354.4
2021-11-23,1,1,342,32.84,0,0,3.7,11231.28
2021-11-24,1,1,285,32.44,0,0,5.8,9245.4
2021-11-25,1,1,522,35.41,0,1,5.1,18484.02
2021-11-26,1,1,618,34.26,0,1,2.6,21172.68
2021-11-27,1,1,440,33.92,0,0,2.2,14924.8
2021-11-28,1,1,438,34.5,0,0,6.2,15111.0
2021-11-29,1,1,336,35.28,0,0,1.9,11854.08
2021-11-30,1,1,528,27.74,1,0,3.8,14646.72
2021-12-01,1,1,334,33.46,0,0,3.9,11175.64
2021-12-02,1,1,662,27.84,1,0,5.6,18430.08
2021-12-03,1,1,386,35.04,0,0,6.8,13525.44
2021-12-04,1,1,467,34.96,0,0,1.8,16326.32
2021-12-05,1,1,453,33.96,0,0,5.5,15383.88
2021-12-06,1,1,395,34.5,0,0,-0.5,13627.5
2021-12-07,1,1,350,33.33,0,0,5.6,11665.5
2021-12-08,1,1,490,28.58,1,0,4.2,14004.2
2021-12-09,1,1,343,32.64,0,0,1.9,11195.52
2021-12-10,1,1,377,33.86,0,0,6.9,12765.22
2021-12-11,1,1,494,32.28,0,0,5.5,15946.32
2021-12-12,1,1,669,29.92,1,0,7.3,20016.48
2021-12-13,1,1,380,34.82,0,0,10.6,13231.6
2021-12-14,1,1,403,33.29,0,0,4.6,13415.87
2021-12-15,1,1,397,35.31,0,0,6.5,14018.07
2021-12-16,1,1,363,32.73,0,0,9.4,11880.99
2021-12-17,1,1,344,33.58,0,0,8.6,11551.52
2021-12-18,1,1,494,35.28,0,0,5.0,17428.32
2021-12-19,1,1,739,28.76,1,0,6.2,21253.64
2021-12-20,1,1,339,33.73,0,0,5.9,11434.47
2021-12-21,1,1,673,29.13,1,0,8.0,19604.49
2021-12-22,1,1,426,35.14,0,0,6.3,14969.64
2021-12-23,1,1,647,29.54,1,0,10.6,19112.38
2021-12-24,1,1,680,34.25,0,1,11.4,23290.0
2021-12-25,1,1,777,35.36,0,1,6.3,27474.72
2021-12-26,1,1,521,33.82,0,0,5.6,17620.22
2021-12-27,1,1,344,34.63,0,0,8.6,11912.72
2021-12-28,1,1,390,34.64,0,0,8.2,13509.6
2021-12-29,1,1,457,35.34,0,0,7.9,16150.38
2021-12-30,1,1,408,33.9,0,0,9.1,13831.2
2021-12-31,1,1,420,32.7,0,0,10.8,13734.0
2022-01-01,1,1,546,33.04,0,1,8.0,18039.84
2022-01-02,1,1,339,34.5,0,0,8.7,11695.5
2022-01-03,1,1,295,34.64,0,0,11.0,10218.8
2022-01-04,1,1,276,32.93,0,0,12.5,9088.68
2022-01-05,1,1,286,33.44,0,0,5.8,9563.84
2022-01-06,1,1,339,33.03,0,0,10.3,11197.17
2022-01-07,1,1,315,33.36,0,0,7.0,10508.4
2022-01-08,1,1,349,33.8,0,0,9.9,11796.2
2022-01-09,1,1,334,34.19,0,0,10.3,11419.46
2022-01-10,1,1,289,33.67,0,0,13.3,9730.63
2022-01-11,1,1,486,28.47,1,0,11.8,13836.42
2022-01-12,1,1,275,32.48,0,0,9.4,8932.0
2022-01-13,1,1,263,35.48,0,0,14.6,9331.24
2022-01-14,1,1,327,33.47,0,0,11.5,10944.69
2022-01-15,1,1,378,33.28,0,0,10.3,12579.84
2022-01-16,1,1,399,32.77,0,0,10.7,13075.23
2022-01-17,1,1,302,34.93,0,0,11.1,10548.86
2022-01-18,1,1,332,34.86,0,0,12.2,11573.52
2022-01-19,1,1,318,34.4,0,0,10.4,10939.2
2022-01-20,1,1,300,35.37,0,0,13.3,10611.0
2022-01-21,1,1,277,32.97,0,0,12.7,9132.69
2022-01-22,1,1,399,34.94,0,0,10.8,13941.06
2022-01-23,1,1,523,27.41,1,0,15.9,14335.43
2022-01-24,1,1,337,32.41,0,0,13.5,10922.17
2022-01-25,1,1,263,32.75,0,0,12.0,8613.25
2022-01-26,1,1,290,35.03,0,0,13.8,10158.7
2022-01-27,1,1,337,33.5,0,0,15.0,11289.5
2022-01-28,1,1,370,34.58,0,0,14.5,12794.6
2022-01-29,1,1,561,27.83,1,0,17.5,15612.63
2022-01-30,1,1,421,35.18,0,0,14.2,14810.78
2022-01-31,1,1,327,32.97,0,0,15.4,10781.19
2022-02-01,1,1,349,32.87,0,0,11.9,11471.63
2022-02-02,1,1,316,32.66,0,0,15.7,10320.56
2022-02-03,1,1,369,35.21,0,0,18.1,12992.49
2022-02-04,1,1,382,32.28,0,0,18.2,12330.96
2022-02-05,1,1,397,34.68,0,0,16.2,13767.96
2022-02-06,1,1,465,34.57,0,0,18.4,16075.05
2022-02-07,1,1,338,34.63,0,0,17.7,11704.94
2022-02-08,1,1,332,32.51,0,0,13.9,10793.32
2022-02-09,1,1,343,34.08,0,0,16.7,11689.44
2022-02-10,1,1,333,32.95,0,0,18.3,10972.35
2022-02-11,1,1,342,32.75,0,0,18.2,11200.5
2022-02-12,1,1,464,35.22,0,0,22.4,16342.08
2022-02-13,1,1,436,33.71,0,0,20.2,14697.56
2022-02-14,1,1,797,28.11,1,1,16.7,22403.67
2022-02-15,1,1,309,35.1,0,0,19.2,10845.9
2022-02-16,1,1,309,34.16,0,0,19.2,10555.44
2022-02-17,1,1,348,32.86,0,0,16.6,11435.28
2022-02-18,1,1,392,32.3,0,0,20.1,12661.6
2022-02-19,1,1,457,33.45,0,0,20.8,15286.65
2022-02-20,1,1,744,29.79,1,0,18.2,22163.76
2022-02-21,1,1,373,34.75,0,0,24.2,12961.75
2022-02-22,1,1,368,35.35,0,0,18.6,13008.8
2022-02-23,1,1,295,33.91,0,0,23.6,10003.45
2022-02-24,1,1,371,32.79,0,0,19.7,12165.09
2022-02-25,1,1,298,34.07,0,0,20.0,10152.86
2022-02-26,1,1,462,35.23,0,0,19.3,16276.26
2022-02-27,1,1,410,32.42,0,0,17.8,13292.2
2022-02-28,1,1,720,27.68,1,0,18.9,19929.6
2022-03-01,1,1,371,34.25,0,0,20.7,12706.75
2022-03-02,1,1,363,34.52,0,0,20.1,12530.76
2022-03-03,1,1,330,32.69,0,0,19.6,10787.7
2022-03-04,1,1,360,32.95,0,0,22.5,11862.0
2022-03-05,1,1,490,35.01,0,0,20.5,17154.9
2022-03-06,1,1,448,32.84,0,0,20.3,14712.32
2022-03-07,1,1,354,34.04,0,0,24.2,12050.16
2022-03-08,1,1,426,34.18,0,0,20.1,14560.68
2022-03-09,1,1,340,34.39,0,0,21.0,11692.6
2022-03-10,1,1,566,27.54,1,0,24.1,15587.64
2022-03-11,1,1,461,32.91,0,0,22.0,15171.51
2022-03-12,1,1,474,33.71,0,0,26.2,15978.54
2022-03-13,1,1,483,33.77,0,0,23.4,16310.91
2022-03-14,1,1,423,32.36,0,0,23.3,13688.28
2022-03-15,1,1,349,33.78,0,0,25.7,11789.22
2022-03-16,1,1,331,32.72,0,0,25.4,10830.32
2022-03-17,1,1,505,29.51,1,0,19.8,14902.55
2022-03-18,1,1,596,30.0,1,0,22.8,17880.0
2022-03-19,1,1,493,34.28,0,0,23.0,16900.04
2022-03-20,1,1,403,35.17,0,0,24.0,14173.51
2022-03-21,1,1,411,35.49,0,0,20.2,14586.39
2022-03-22,1,1,382,33.0,0,0,23.3,12606.0
2022-03-23,1,1,411,33.89,0,0,23.8,13928.79
2022-03-24,1,1,406,32.8,0,0,25.8,13316.8
2022-03-25,1,1,403,33.6,0,0,27.7,13540.8
2022-03-26,1,1,470,34.81,0,0,24.9,16360.7
2022-03-27,1,1,495,34.01,0,0,25.0,16834.95
2022-03-28,1,1,375,34.64,0,0,23.2,12990.0
2022-03-29,1,1,384,32.75,0,0,22.1,12576.0
2022-03-30,1,1,321,34.68,0,0,23.0,11132.28
2022-03-31,1,1,531,29.18,1,0,24.7,15494.58
2022-04-01,1,1,481,27.36,1,0,27.5,13160.16
2022-04-02,1,1,426,33.62,0,0,23.3,14322.12
2022-04-03,1,1,835,27.33,1,0,25.2,22820.55
2022-04-04,1,1,372,32.62,0,0,27.4,12134.64
2022-04-05,1,1,365,34.14,0,0,23.7,12461.1
2022-04-06,1,1,406,33.73,0,0,28.7,13694.38
2022-04-07,1,1,406,33.3,0,0,25.1,13519.8
2022-04-08,1,1,595,29.05,1,0,26.5,17284.75
